id,college_name,city,state,nirf_management_rank_2025,category,ranking_source,profile_slug
1,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,1,Management,NIRF 2025 Management,indian-institute-of-management-ahmedabad
2,Indian Institute of Management Bangalore,Bengaluru,Karnataka,2,Management,NIRF 2025 Management,indian-institute-of-management-bangalore
3,Indian Institute of Management Kozhikode,Kozhikode,Kerala,3,Management,NIRF 2025 Management,indian-institute-of-management-kozhikode
4,Indian Institute of Technology Delhi,New Delhi,Delhi,4,Management,NIRF 2025 Management,indian-institute-of-technology-delhi
5,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,5,Management,NIRF 2025 Management,indian-institute-of-management-lucknow
6,Indian Institute of Management Mumbai,Mumbai,Maharashtra,6,Management,NIRF 2025 Management,indian-institute-of-management-mumbai
7,Indian Institute of Management Calcutta,Kolkata,West Bengal,7,Management,NIRF 2025 Management,indian-institute-of-management-calcutta
8,Indian Institute of Management Indore,Indore,Madhya Pradesh,8,Management,NIRF 2025 Management,indian-institute-of-management-indore
9,Management Development Institute,Gurugram,Haryana,9,Management,NIRF 2025 Management,management-development-institute
10,XLRI - Xavier School of Management,Jamshedpur,Jharkhand,10,Management,NIRF 2025 Management,xlri-xavier-school-of-management
11,Symbiosis Institute of Business Management,Pune,Maharashtra,11,Management,NIRF 2025 Management,symbiosis-institute-of-business-management
12,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,12,Management,NIRF 2025 Management,indian-institute-of-technology-kharagpur
13,Indian Institute of Technology Madras,Chennai,Tamil Nadu,13,Management,NIRF 2025 Management,indian-institute-of-technology-madras
14,Indian Institute of Technology Bombay,Mumbai,Maharashtra,14,Management,NIRF 2025 Management,indian-institute-of-technology-bombay
15,Indian Institute of Management Raipur,Raipur,Chhattisgarh,15,Management,NIRF 2025 Management,indian-institute-of-management-raipur
16,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,16,Management,NIRF 2025 Management,indian-institute-of-management-tiruchirappalli
17,Indian Institute of Foreign Trade,New Delhi,Delhi,17,Management,NIRF 2025 Management,indian-institute-of-foreign-trade
18,Indian Institute of Management Ranchi,Ranchi,Jharkhand,18,Management,NIRF 2025 Management,indian-institute-of-management-ranchi
19,Indian Institute of Management Rohtak,Rohtak,Haryana,19,Management,NIRF 2025 Management,indian-institute-of-management-rohtak
20,S. P. Jain Institute of Management and Research,Mumbai,Maharashtra,20,Management,NIRF 2025 Management,s-p-jain-institute-of-management-and-research
21,Indian Institute of Management Udaipur,Udaipur,Rajasthan,21,Management,NIRF 2025 Management,indian-institute-of-management-udaipur
22,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,22,Management,NIRF 2025 Management,indian-institute-of-technology-roorkee
23,Indian Institute of Management Kashipur,Kashipur,Uttarakhand,23,Management,NIRF 2025 Management,indian-institute-of-management-kashipur
24,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,24,Management,NIRF 2025 Management,svkm-s-narsee-monjee-institute-of-management-studies
25,Indian Institute of Management,Nagpur,Maharashtra,25,Management,NIRF 2025 Management,indian-institute-of-management
26,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,26,Management,NIRF 2025 Management,amrita-vishwa-vidyapeetham
27,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,27,Management,NIRF 2025 Management,indian-institute-of-technology-kanpur
28,Jamia Millia Islamia,New Delhi,Delhi,28,Management,NIRF 2025 Management,jamia-millia-islamia
29,Indian Institute of Management Visakhapatnam,Visakhapatnam,Andhra Pradesh,29,Management,NIRF 2025 Management,indian-institute-of-management-visakhapatnam
30,Institute of Management Technology,Ghaziabad,Uttar Pradesh,30,Management,NIRF 2025 Management,institute-of-management-technology
31,Indian Institute of Management Bodh Gaya,Gaya,Bihar,31,Management,NIRF 2025 Management,indian-institute-of-management-bodh-gaya
32,Chandigarh University,Mohali,Punjab,32,Management,NIRF 2025 Management,chandigarh-university
33,MICA,Ahmedabad,Gujarat,33,Management,NIRF 2025 Management,mica
34,Indian Institute of Management Sambalpur,Sambalpur,Odisha,34,Management,NIRF 2025 Management,indian-institute-of-management-sambalpur
35,Indian Institute of Management Jammu,Jammu,Jammu and Kashmir,35,Management,NIRF 2025 Management,indian-institute-of-management-jammu
36,UPES,Dehradun,Uttarakhand,36,Management,NIRF 2025 Management,upes
37,Great Lakes Institute of Management,Chennai,Tamil Nadu,37,Management,NIRF 2025 Management,great-lakes-institute-of-management
38,Indian Institute of Management Shillong,Shillong,Meghalaya,38,Management,NIRF 2025 Management,indian-institute-of-management-shillong
39,T. A. Pai Management Institute Manipal,Manipal,Karnataka,39,Management,NIRF 2025 Management,t-a-pai-management-institute-manipal
40,IMI Delhi,New Delhi,Delhi,40,Management,NIRF 2025 Management,imi-delhi
41,Jaipuria Institute of Management,Noida,Uttar Pradesh,41,Management,NIRF 2025 Management,jaipuria-institute-of-management
42,IMI Kolkata,Kolkata,West Bengal,42,Management,NIRF 2025 Management,imi-kolkata
43,Goa Institute of Management,Sanquelim,Goa,43,Management,NIRF 2025 Management,goa-institute-of-management
44,Lovely Professional University,Phagwara,Punjab,44,Management,NIRF 2025 Management,lovely-professional-university
45,XIM University,Bhubaneswar,Odisha,45,Management,NIRF 2025 Management,xim-university
46,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,46,Management,NIRF 2025 Management,thapar-institute-of-engineering-and-technology-deemed-to-be-university
47,"ICFAI Foundation for Higher Education, Hyderabad",Hyderabad,Telangana,46,Management,NIRF 2025 Management,icfai-foundation-for-higher-education-hyderabad
48,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,48,Management,NIRF 2025 Management,indian-institute-of-technology-indian-school-of-mines
49,Amity University,Gautam Budh Nagar,Uttar Pradesh,49,Management,NIRF 2025 Management,amity-university
50,Great Lakes Institute of Management,Gurugram,Haryana,50,Management,NIRF 2025 Management,great-lakes-institute-of-management
51,Indian Institute of Management Sirmaur,Sirmaur,Himachal Pradesh,51,Management,NIRF 2025 Management,indian-institute-of-management-sirmaur
52,Graphic Era University,Dehradun,Uttarakhand,52,Management,NIRF 2025 Management,graphic-era-university
53,Nirma University,Ahmedabad,Gujarat,53,Management,NIRF 2025 Management,nirma-university
54,Institute of Rural Management Anand,Anand,Gujarat,54,Management,NIRF 2025 Management,institute-of-rural-management-anand
55,Loyola Institute of Business Administration,Chennai,Tamil Nadu,55,Management,NIRF 2025 Management,loyola-institute-of-business-administration
56,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,56,Management,NIRF 2025 Management,s-r-m-institute-of-science-and-technology
57,Christ University,Bengaluru,Karnataka,57,Management,NIRF 2025 Management,christ-university
58,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,57,Management,NIRF 2025 Management,national-institute-of-technology-tiruchirappalli
59,Fore School of Management,New Delhi,Delhi,59,Management,NIRF 2025 Management,fore-school-of-management
60,Banaras Hindu University,Varanasi,Uttar Pradesh,60,Management,NIRF 2025 Management,banaras-hindu-university
61,Birla Institute of Management Technology,Greater Noida,Uttar Pradesh,61,Management,NIRF 2025 Management,birla-institute-of-management-technology
62,Malaviya National Institute of Technology Jaipur,Jaipur,Rajasthan,62,Management,NIRF 2025 Management,malaviya-national-institute-of-technology-jaipur
63,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,63,Management,NIRF 2025 Management,saveetha-institute-of-medical-and-technical-sciences
64,Indian Institute of Management Amritsar,Amritsar,Punjab,64,Management,NIRF 2025 Management,indian-institute-of-management-amritsar
65,K.J.Somaiya Institute of Management,Mumbai,Maharashtra,65,Management,NIRF 2025 Management,k-j-somaiya-institute-of-management
66,Siksha 'O' Anusandhan,Bhubaneswar,Odisha,66,Management,NIRF 2025 Management,siksha-o-anusandhan
67,Jaipuria Institute of Management Lucknow,Lucknow,Uttar Pradesh,67,Management,NIRF 2025 Management,jaipuria-institute-of-management-lucknow
68,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,68,Management,NIRF 2025 Management,kalinga-institute-of-industrial-technology
69,Aligarh Muslim University,Aligarh,Uttar Pradesh,69,Management,NIRF 2025 Management,aligarh-muslim-university
70,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,70,Management,NIRF 2025 Management,koneru-lakshmaiah-education-foundation-university-k-l-college-of-engineering
71,Alliance University,Bengaluru,Karnataka,71,Management,NIRF 2025 Management,alliance-university
72,Institute of Management Technology Hyderabad,Hyderabad,Telangana,72,Management,NIRF 2025 Management,institute-of-management-technology-hyderabad
73,"Jain university,Bangalore",Bengaluru,Karnataka,73,Management,NIRF 2025 Management,jain-university-bangalore
74,Jaipuria Institute of Management Jaipur,Jaipur,Rajasthan,74,Management,NIRF 2025 Management,jaipuria-institute-of-management-jaipur
75,Prin. L.N. Welingkar Institute of Management Development and Research (PGDM),Mumbai,Maharashtra,75,Management,NIRF 2025 Management,prin-l-n-welingkar-institute-of-management-development-and-research-pgdm
76,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,76,Management,NIRF 2025 Management,guru-gobind-singh-indraprastha-university
77,BML Munjal University,Gurugram,Haryana,77,Management,NIRF 2025 Management,bml-munjal-university
78,Chitkara University,Rajpura,Punjab,78,Management,NIRF 2025 Management,chitkara-university
79,Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,79,Management,NIRF 2025 Management,babasheb-bhimrao-ambedkar-university
80,Thiagarajar School of Management,Madurai,Tamil Nadu,80,Management,NIRF 2025 Management,thiagarajar-school-of-management
81,Manipal University Jaipur,Jaipur,Rajasthan,81,Management,NIRF 2025 Management,manipal-university-jaipur
82,Cochin University of Science and Technology,Kochi,Kerala,82,Management,NIRF 2025 Management,cochin-university-of-science-and-technology
83,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,83,Management,NIRF 2025 Management,madan-mohan-malaviya-university-of-technology
84,PSG College of Technology,Coimbatore,Tamil Nadu,84,Management,NIRF 2025 Management,psg-college-of-technology
85,National Institute of Technology Calicut,Kozhikode,Kerala,85,Management,NIRF 2025 Management,national-institute-of-technology-calicut
86,New Delhi Institute of Management,New Delhi,Delhi,86,Management,NIRF 2025 Management,new-delhi-institute-of-management
87,Jamia Hamdard,New Delhi,Delhi,87,Management,NIRF 2025 Management,jamia-hamdard
88,Anna University,Chennai,Tamil Nadu,88,Management,NIRF 2025 Management,anna-university
89,Pandit Deendayal Energy University,Gandhinagar,Gujarat,89,Management,NIRF 2025 Management,pandit-deendayal-energy-university
90,Jagan Institute of Management Studies,Delhi,Delhi,90,Management,NIRF 2025 Management,jagan-institute-of-management-studies
91,Rajagiri Business School,Kochi,Kerala,91,Management,NIRF 2025 Management,rajagiri-business-school
92,Panjab University,Chandigarh,Chandigarh,92,Management,NIRF 2025 Management,panjab-university
93,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,93,Management,NIRF 2025 Management,atal-bihari-vajpayee-indian-institute-of-information-technology-and-management
94,IMI Bhubaneswar,Bhubaneswar,Odisha,94,Management,NIRF 2025 Management,imi-bhubaneswar
95,National Institute of Agricultural Extension Management,Hyderabad,Telangana,95,Management,NIRF 2025 Management,national-institute-of-agricultural-extension-management
96,Bharathidasan Institute of Management,Tiruchirappalli,Tamil Nadu,96,Management,NIRF 2025 Management,bharathidasan-institute-of-management
97,Birla Institute of Technology,Ranchi,Jharkhand,97,Management,NIRF 2025 Management,birla-institute-of-technology
98,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,98,Management,NIRF 2025 Management,indian-institute-of-technology-jodhpur
99,"Institute of Management Technology, Nagpur",Nagpur,Maharashtra,99,Management,NIRF 2025 Management,institute-of-management-technology-nagpur
100,University of Lucknow,Lucknow,Uttar Pradesh,100,Management,NIRF 2025 Management,university-of-lucknow
